,timestamp,open,high,low,close,volume
0,1600198500000,2.3688,2.3764,2.3658,2.372,3552.7
1,1600198800000,2.3687,2.3718,2.3667,2.3677,782.03
2,1600199100000,2.3677,2.37,2.365,2.37,4167.68
3,1600199400000,2.3677,2.3717,2.365,2.365,1043.73
4,1600199700000,2.3651,2.3688,2.365,2.365,668.52
5,1600200000000,2.3682,2.3682,2.3608,2.3608,3467.53
6,1600200300000,2.3618,2.3667,2.3546,2.3546,15422.68
7,1600200600000,2.3551,2.3667,2.3546,2.3667,16055.42
8,1600200900000,2.3728,2.3874,2.3728,2.373,11991.53
9,1600201200000,2.379,2.379,2.3667,2.3668,1042.51
10,1600201500000,2.3668,2.3699,2.3594,2.3599,5479.43
11,1600201800000,2.3599,2.3722,2.359,2.3722,6003.15
12,1600202100000,2.3709,2.371,2.3592,2.3592,4734.74
13,1600202400000,2.3654,2.3654,2.3511,2.3548,3323.25
14,1600202700000,2.356,2.3573,2.3506,2.3529,1901.26
15,1600203000000,2.3529,2.3588,2.3502,2.3531,8686.17
16,1600203300000,2.3535,2.3582,2.3503,2.3524,4510.24
17,1600203600000,2.3524,2.3524,2.3416,2.3459,13108.37
18,1600203900000,2.3431,2.3436,2.3343,2.3393,3537.23
19,1600204200000,2.34,2.3401,2.3358,2.3375,916.25
20,1600204500000,2.3414,2.3442,2.3383,2.3389,3112.18
21,1600204800000,2.3409,2.345,2.3391,2.3444,5839.8
22,1600205100000,2.3393,2.3433,2.3381,2.3381,720.7
23,1600205400000,2.3377,2.3495,2.3376,2.345,1564.95
24,1600205700000,2.3453,2.3589,2.3453,2.3543,4579.05
25,1600206000000,2.3572,2.3658,2.3562,2.36,3943.45
26,1600206300000,2.36,2.3672,2.36,2.366,1681.95
27,1600206600000,2.3677,2.3783,2.3639,2.365,5436.46
28,1600206900000,2.3651,2.3691,2.3639,2.3677,1202.37
29,1600207200000,2.3691,2.37,2.3681,2.3697,6850.99
30,1600207500000,2.3671,2.3691,2.366,2.366,569.18
31,1600207800000,2.367,2.3682,2.36,2.364,2262.0
32,1600208100000,2.364,2.3643,2.3545,2.3591,11766.05
33,1600208400000,2.3594,2.36,2.3491,2.3491,2920.37
34,1600208700000,2.3506,2.359,2.3506,2.359,2150.67
35,1600209000000,2.3589,2.3655,2.3511,2.354,4451.99
36,1600209300000,2.3568,2.3647,2.3513,2.352,3062.89
37,1600209600000,2.357,2.3631,2.3536,2.3558,4761.83
38,1600209900000,2.355,2.355,2.3399,2.3441,37366.75
39,1600210200000,2.3471,2.3482,2.3339,2.3356,14245.05
40,1600210500000,2.3382,2.3398,2.3077,2.3195,23818.56
41,1600210800000,2.3138,2.3139,2.2914,2.2915,8998.67
42,1600211100000,2.2978,2.3075,2.2916,2.3017,6045.27
43,1600211400000,2.3004,2.3062,2.2967,2.3062,11505.19
44,1600211700000,2.3063,2.307,2.2944,2.3051,10220.98
45,1600212000000,2.305,2.3064,2.2946,2.3064,7659.89
46,1600212300000,2.2968,2.3068,2.2968,2.3001,1995.25
47,1600212600000,2.3003,2.3212,2.2924,2.3212,17836.96
48,1600212900000,2.3173,2.318,2.3072,2.3074,2073.18
